 , ,Total SCHL,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree,Less Than High School,High School,Some College,Bachelor Degree,"Master, PhD, or Professional Degree"
    TRN-CLEANERS OF VEHICLES AND EQUIPMENT, ,501530,0,11418,0,186,804,2252,2112,2772,3016,13382,4047,9169,19267,26824,40349,16057,175682,33396,30481,72111,19459,15722,2424,600,0,151655,209078,122051,15722,3024
"    TRN-LABORERS AND FREIGHT, STOCK, AND MATERIAL MOVERS, HAND", ,3074518,0,54774,351,1029,2972,4107,8975,6492,11271,44360,12382,39870,79272,128046,178155,94456,1129125,216370,246091,506197,150498,136954,17278,3020,2473,666512,1345495,902786,136954,22771
    TRN-MACHINE FEEDERS AND OFFBEARERS, ,39267,0,773,0,0,0,99,0,0,301,921,18,1075,423,1555,2747,1539,14628,4224,1952,5460,2203,1045,304,0,0,9451,18852,9615,1045,304
"    TRN-PACKERS AND PACKAGERS, HAND", ,700608,0,25758,265,224,695,3699,6704,5770,6699,34661,8943,17539,36504,28395,43381,27745,236309,35524,40889,88123,25263,23526,2815,596,581,246982,271833,154275,23526,3992
    TRN-PUMPING STATION OPERATORS, ,33745,0,381,0,0,0,25,0,0,0,152,0,350,635,914,661,626,15004,1791,3697,5113,2327,1968,101,0,0,3744,16795,11137,1968,101
    TRN-REFUSE AND RECYCLABLE MATERIAL COLLECTORS, ,135094,0,3108,0,162,94,289,536,1089,434,3627,523,2286,5606,8176,8436,5130,48472,10956,8011,17386,6110,3879,693,91,0,39496,59428,31507,3879,784
"    TRN-MISCELLANEOUS MATERIAL MOVING WORKERS, INCLUDING MINE SHUTTLE CAR OPERATORS, AND TANK CAR, TRUCK, AND SHIP LOADERS", ,74610,0,613,77,0,0,0,202,157,0,623,146,2141,1160,2237,3268,3611,29064,5412,6494,11892,4080,2711,661,0,61,14235,34476,22466,2711,722
    MIL-MILITARY OFFICER SPECIAL AND TACTICAL OPERATIONS LEADERS, ,49094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5161,466,2641,8802,2466,18041,10977,157,383,0,5627,13909,18041,11517
    MIL-FIRST-LINE ENLISTED MILITARY SUPERVISORS, ,111018,0,0,0,0,0,0,0,0,0,0,0,0,0,184,417,167,13886,1117,9142,27870,20681,22653,13993,560,348,768,15003,57693,22653,14901
    MIL-MILITARY ENLISTED TACTICAL OPERATIONS AND AIR/WEAPONS SPECIALISTS AND CREW MEMBERS, ,171519,0,0,0,0,0,0,0,0,0,0,0,74,0,170,1875,242,68459,1649,22795,44138,10123,17731,3870,320,73,2361,70108,77056,17731,4263
"    MIL-MILITARY, RANK NOT SPECIFIED **", ,274977,0,751,0,0,33,0,0,0,130,65,0,43,23,427,985,976,68166,4930,37937,63312,29702,48165,17426,1449,457,3433,73096,130951,48165,19332
    UNEMPLOYED AND LAST WORKED 5 YEARS AGO OR EARLIER OR NEVER WORKED **, ,2133874,0,26776,486,416,1202,2690,5439,2666,3494,26276,7372,32231,99204,204061,244265,65696,592944,98978,129255,282770,84824,165522,43747,8088,5472,722274,691922,496849,165522,57307
Universe: All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataSet(s) selected: 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: ACS Public Use Microdata Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
