" "," ","Total DPHY","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
"EDU-OTHER TEACHERS AND INSTRUCTORS", ,1195962,36180,1159782,1195962,20139.2,416.55,24085719370
"EDU-ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS", ,58332,1547,56785,58332,36674.1,2476.42,2139275930
"EDU-LIBRARIANS", ,215867,6508,209359,215867,34169.4,1103.16,7376038200
"EDU-LIBRARY TECHNICIANS", ,66422,1939,64483,66422,15287.0,1518.60,1015395110
"EDU-TEACHER ASSISTANTS", ,1349582,54922,1294660,1349582,16272.3,281.19,21960760542
"EDU-OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS", ,142713,4101,138612,142713,37437.7,1669.15,5342849120
"ENT-ARTISTS AND RELATED WORKERS", ,262648,10225,252423,262648,26401.4,1364.28,6934279680
"ENT-DESIGNERS", ,1035662,20068,1015594,1035662,39110.8,754.26,40505519990
"ENT-ACTORS", ,80258,2049,78209,80258,23362.7,2946.60,1875043520
"ENT-PRODUCERS AND DIRECTORS", ,180368,2740,177628,180368,63538.6,2888.15,11460338510
"ENT-ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS", ,431818,5494,426324,431818,22002.2,1118.77,9500946330
"ENT-DANCERS AND CHOREOGRAPHERS", ,30117,632,29485,30117,21118.2,2944.95,636016460
"ENT-MUSICIANS, SINGERS, AND RELATED WORKERS", ,276217,14026,262191,276217,18916.5,1230.58,5225064380
"ENT-ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER", ,58856,2565,56291,58856,17534.8,1873.23,1032028610
"ENT-ANNOUNCERS", ,61687,4420,57267,61687,33629.1,3322.58,2074477290
"ENT-NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS", ,91014,2619,88395,91014,49712.0,4031.80,4524483800
"ENT-PUBLIC RELATIONS SPECIALISTS", ,154894,2198,152696,154894,61582.1,2829.73,9538698470
"ENT-EDITORS", ,226168,5045,221123,226168,42321.9,1741.30,9571860110
"ENT-TECHNICAL WRITERS", ,68598,2293,66305,68598,54379.0,3063.92,3730291790
"ENT-WRITERS AND AUTHORS", ,300943,10338,290605,300943,34839.2,1564.34,10484609390
"ENT-MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS", ,140856,5559,135297,140856,24981.9,1518.43,3518852194
"ENT-BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER", ,129468,2758,126710,129468,39217.6,1998.96,5077421020
"ENT-PHOTOGRAPHERS", ,241362,7172,234190,241362,16869.2,977.81,4071585930
"ENT-TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS", ,79332,1498,77834,79332,35366.2,2712.35,2805668420
"MED-CHIROPRACTORS", ,58847,1012,57835,58847,55820.3,5078.35,3284855900
"MED-DENTISTS", ,179563,2162,177401,179563,124640.9,4855.19,22380886450
"MED-DIETITIANS AND NUTRITIONISTS", ,110026,3382,106644,110026,38513.5,2691.72,4237481820
"MED-OPTOMETRISTS", ,39758,113,39645,39758,85471.5,6496.97,3398176000
"MED-PHARMACISTS", ,336624,8083,328541,336624,86644.6,2195.39,29166647080
"MED-PHYSICIANS AND SURGEONS", ,984445,13910,970535,984445,192009.9,2883.29,189023195810
"MED-PHYSICIAN ASSISTANTS", ,100973,549,100424,100973,85022.0,3870.05,8584925660
"MED-PODIATRISTS", ,8428,308,8120,8428,116267.1,20488.80,979899000
"MED-AUDIOLOGISTS", ,17290,287,17003,17290,59166.8,5353.76,1022993900
"MED-OCCUPATIONAL THERAPISTS", ,117355,1387,115968,117355,53389.5,2238.93,6265522300
"MED-PHYSICAL THERAPISTS", ,255855,1755,254100,255855,60572.1,1965.96,15497673470
"MED-RADIATION THERAPISTS", ,18597,269,18328,18597,64577.8,6300.49,1200952800
"MED-RECREATIONAL THERAPISTS", ,12247,311,11936,12247,33030.4,4539.84,404523660
"MED-RESPIRATORY THERAPISTS", ,114521,3442,111079,114521,50166.8,2301.05,5745155950
"MED-SPEECH-LANGUAGE PATHOLOGISTS", ,169868,2774,167094,169868,47571.1,1724.10,8080815560
"MED-OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS", ,182240,3678,178562,182240,35264.6,1391.38,6426617730
"MED-VETERINARIANS", ,79352,1011,78341,79352,83180.7,4796.97,6600555570
"MED-REGISTERED NURSES", ,3524932,97596,3427336,3524932,53748.8,448.61,189460913940
"MED-NURSE ANESTHETISTS", ,30481,431,30050,30481,142463.3,11662.04,4342423900
"MED-NURSE PRACTITIONERS, AND NURSE MIDWIVES", ,142956,1419,141537,142956,85312.5,3352.74,12195935100
"MED-HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER", ,30659,797,29862,30659,30935.3,4643.32,948444340
"MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS", ,385569,11286,374283,385569,39443.1,1121.92,15208020330
"MED-DENTAL HYGIENISTS", ,199866,2205,197661,199866,44156.4,1601.70,8825366610
"MED-DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS", ,391880,9733,382147,391880,48135.7,1184.23,18863413550
"MED-EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS", ,232958,4369,228589,232958,38385.9,1745.62,8942302550
"MED-HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS", ,728655,17497,711158,728655,27142.3,565.04,19777380060
"MED-LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES", ,1001304,53066,948238,1001304,30436.4,583.01,30476055070
"MED-MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS", ,213152,9797,203355,213152,33079.5,1224.85,7050959760
"MED-OPTICIANS, DISPENSING", ,65705,2461,63244,65705,33525.4,2484.26,2202786200
"MED-MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS", ,146804,5527,141277,146804,39907.2,2199.61,5858537520
"MED-OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS", ,151892,4572,147320,151892,50273.5,2071.36,7636146440
"HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES", ,2592419,144953,2447466,2592419,18920.1,247.37,49048797280
"HLS-OCCUPATIONAL THERAPY ASSISTANTS AND AIDES", ,24974,1396,23578,24974,34523.4,2981.50,862188400
"HLS-PHYSICAL THERAPIST ASSISTANTS AND AIDES", ,102225,1017,101208,102225,30485.1,1562.67,3116337380
"HLS-MASSAGE THERAPISTS", ,205906,4203,201703,205906,14391.2,658.81,2963233940
"HLS-DENTAL ASSISTANTS", ,366021,5330,360691,366021,25001.7,764.27,9151134460
"HLS-MEDICAL ASSISTANTS", ,620475,15418,605057,620475,24382.8,531.63,15128936930
"HLS-MEDICAL TRANSCRIPTIONISTS", ,62726,3426,59300,62726,17057.1,1170.55,1069926070
"HLS-PHARMACY AIDES", ,54432,2316,52116,54432,25217.8,2010.40,1372655120
"HLS-VETERINARY ASSISTANTS AND LABORATORY ANIMAL CARETAKERS", ,65909,2182,63727,65909,18030.2,1469.80,1188352670
"HLS-PHLEBOTOMISTS", ,145239,6651,138588,145239,23974.0,1044.98,3481960670
"HLS-HEALTHCARE SUPPORT WORKERS, ALL OTHER, INCLUDING MEDICAL EQUIPMENT PREPARERS", ,198647,6850,191797,198647,22483.7,941.73,4466320900
"PRT-FIRST-LINE SUPERVISORS OF CORRECTIONAL OFFICERS", ,71980,4648,67332,71980,48857.4,2785.53,3516756000
"PRT-FIRST-LINE SUPERVISORS OF POLICE AND DETECTIVES", ,119799,4560,115239,119799,70324.6,2873.17,8424817610
"PRT-FIRST-LINE SUPERVISORS OF FIRE FIGHTING AND PREVENTION WORKERS", ,58098,1185,56913,58098,73292.9,4133.00,4258169000
"PRT-FIRST-LINE SUPERVISORS OF PROTECTIVE SERVICE WORKERS, ALL OTHER", ,87906,4212,83694,87906,47391.7,2475.71,4166013200
"PRT-FIREFIGHTERS", ,316525,6799,309726,316525,59252.9,1524.46,18755008880
"PRT-FIRE INSPECTORS", ,23948,722,23226,23948,44571.1,3936.46,1067389300
"PRT-BAILIFFS, CORRECTIONAL OFFICERS, AND JAILERS", ,491804,23102,468702,491804,41157.8,942.75,20241563780
"PRT-DETECTIVES AND CRIMINAL INVESTIGATORS", ,146053,3972,142081,146053,67384.5,2718.14,9841702160
"PRT-MISCELLANEOUS LAW ENFORCEMENT WORKERS", ,16286,422,15864,16286,32325.5,3830.54,526452390
"PRT-POLICE OFFICERS", ,812642,20391,792251,812642,58646.6,986.73,47658652220
"PRT-ANIMAL CONTROL WORKERS", ,11154,878,10276,11154,36285.7,5039.94,404730500
"PRT-PRIVATE DETECTIVES AND INVESTIGATORS", ,98862,4241,94621,98862,46753.8,2501.80,4622177420
"PRT-SECURITY GUARDS AND GAMING SURVEILLANCE OFFICERS", ,1267640,76557,1191083,1267640,24968.8,446.37,31651405420
"PRT-CROSSING GUARDS", ,90838,6868,83970,90838,13731.4,1093.43,1247328500
"PRT-TRANSPORTATION SECURITY SCREENERS", ,38424,1738,36686,38424,39204.6,3183.76,1506396920
"PRT-LIFEGUARDS AND OTHER RECREATIONAL, AND ALL OTHER PROTECTIVE SERVICE WORKERS", ,335198,2619,332579,335198,6427.6,355.86,2154534770
"EAT-CHEFS AND HEAD COOKS", ,501335,15993,485342,501335,27149.7,701.36,13611077350
