" "," ","Total DEAR","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
"     MED-VETERINARIANS", ,79352,1826,77526,79352,83180.7,4796.97,6600555570
"     MED-REGISTERED NURSES", ,3524932,51052,3473880,3524932,53748.8,448.61,189460913940
"     MED-NURSE ANESTHETISTS", ,30481,341,30140,30481,142463.3,11662.04,4342423900
"     MED-NURSE PRACTITIONERS, AND NURSE MIDWIVES", ,142956,1139,141817,142956,85312.5,3352.74,12195935100
"     MED-HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER", ,30659,537,30122,30659,30935.3,4643.32,948444340
"     MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS", ,385569,4795,380774,385569,39443.1,1121.92,15208020330
"     MED-DENTAL HYGIENISTS", ,199866,1226,198640,199866,44156.4,1601.70,8825366610
"     MED-DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS", ,391880,5805,386075,391880,48135.7,1184.23,18863413550
"     MED-EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS", ,232958,4258,228700,232958,38385.9,1745.62,8942302550
"     MED-HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS", ,728655,8641,720014,728655,27142.3,565.04,19777380060
"     MED-LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES", ,1001304,18942,982362,1001304,30436.4,583.01,30476055070
"     MED-MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS", ,213152,2907,210245,213152,33079.5,1224.85,7050959760
"     MED-OPTICIANS, DISPENSING", ,65705,1798,63907,65705,33525.4,2484.26,2202786200
"     MED-MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS", ,146804,2896,143908,146804,39907.2,2199.61,5858537520
"     MED-OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS", ,151892,4260,147632,151892,50273.5,2071.36,7636146440
"     HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES", ,2592419,48199,2544220,2592419,18920.1,247.37,49048797280
"     HLS-OCCUPATIONAL THERAPY ASSISTANTS AND AIDES", ,24974,403,24571,24974,34523.4,2981.50,862188400
"     HLS-PHYSICAL THERAPIST ASSISTANTS AND AIDES", ,102225,625,101600,102225,30485.1,1562.67,3116337380
"     HLS-MASSAGE THERAPISTS", ,205906,3523,202383,205906,14391.2,658.81,2963233940
"     HLS-DENTAL ASSISTANTS", ,366021,3586,362435,366021,25001.7,764.27,9151134460
"     HLS-MEDICAL ASSISTANTS", ,620475,6585,613890,620475,24382.8,531.63,15128936930
"     HLS-MEDICAL TRANSCRIPTIONISTS", ,62726,1345,61381,62726,17057.1,1170.55,1069926070
"     HLS-PHARMACY AIDES", ,54432,536,53896,54432,25217.8,2010.40,1372655120
"     HLS-VETERINARY ASSISTANTS AND LABORATORY ANIMAL CARETAKERS", ,65909,996,64913,65909,18030.2,1469.80,1188352670
"     HLS-PHLEBOTOMISTS", ,145239,1419,143820,145239,23974.0,1044.98,3481960670
"     HLS-HEALTHCARE SUPPORT WORKERS, ALL OTHER, INCLUDING MEDICAL EQUIPMENT PREPARERS", ,198647,4478,194169,198647,22483.7,941.73,4466320900
"     PRT-FIRST-LINE SUPERVISORS OF CORRECTIONAL OFFICERS", ,71980,3811,68169,71980,48857.4,2785.53,3516756000
"     PRT-FIRST-LINE SUPERVISORS OF POLICE AND DETECTIVES", ,119799,2876,116923,119799,70324.6,2873.17,8424817610
"     PRT-FIRST-LINE SUPERVISORS OF FIRE FIGHTING AND PREVENTION WORKERS", ,58098,2174,55924,58098,73292.9,4133.00,4258169000
"     PRT-FIRST-LINE SUPERVISORS OF PROTECTIVE SERVICE WORKERS, ALL OTHER", ,87906,3700,84206,87906,47391.7,2475.71,4166013200
"     PRT-FIREFIGHTERS", ,316525,8055,308470,316525,59252.9,1524.46,18755008880
"     PRT-FIRE INSPECTORS", ,23948,413,23535,23948,44571.1,3936.46,1067389300
"     PRT-BAILIFFS, CORRECTIONAL OFFICERS, AND JAILERS", ,491804,14423,477381,491804,41157.8,942.75,20241563780
"     PRT-DETECTIVES AND CRIMINAL INVESTIGATORS", ,146053,3857,142196,146053,67384.5,2718.14,9841702160
"     PRT-MISCELLANEOUS LAW ENFORCEMENT WORKERS", ,16286,449,15837,16286,32325.5,3830.54,526452390
"     PRT-POLICE OFFICERS", ,812642,19808,792834,812642,58646.6,986.73,47658652220
"     PRT-ANIMAL CONTROL WORKERS", ,11154,113,11041,11154,36285.7,5039.94,404730500
"     PRT-PRIVATE DETECTIVES AND INVESTIGATORS", ,98862,3627,95235,98862,46753.8,2501.80,4622177420
"     PRT-SECURITY GUARDS AND GAMING SURVEILLANCE OFFICERS", ,1267640,45450,1222190,1267640,24968.8,446.37,31651405420
"     PRT-CROSSING GUARDS", ,90838,4213,86625,90838,13731.4,1093.43,1247328500
"     PRT-TRANSPORTATION SECURITY SCREENERS", ,38424,1382,37042,38424,39204.6,3183.76,1506396920
"     PRT-LIFEGUARDS AND OTHER RECREATIONAL, AND ALL OTHER PROTECTIVE SERVICE WORKERS", ,335198,2430,332768,335198,6427.6,355.86,2154534770
