,Occupation,Expected Highest Education Level Completed
136,"    ENT-MUSICIANS, SINGERS, AND RELATED WORKERS",Some College
137,"    ENT-ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER",Some College
138,    ENT-ANNOUNCERS,Some College
139,"    ENT-NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS",Bachelor Degree
140,    ENT-PUBLIC RELATIONS SPECIALISTS,Bachelor Degree
141,    ENT-EDITORS,Bachelor Degree
142,    ENT-TECHNICAL WRITERS,Bachelor Degree
143,    ENT-WRITERS AND AUTHORS,Bachelor Degree
144,    ENT-MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS,Some College
145,"    ENT-BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER",Some College
146,    ENT-PHOTOGRAPHERS,Some College
147,"    ENT-TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS",Bachelor Degree
148,    MED-CHIROPRACTORS,"Master, PhD, or Professional Degree"
149,    MED-DENTISTS,"Master, PhD, or Professional Degree"
150,    MED-DIETITIANS AND NUTRITIONISTS,Bachelor Degree
151,    MED-OPTOMETRISTS,"Master, PhD, or Professional Degree"
152,    MED-PHARMACISTS,"Master, PhD, or Professional Degree"
153,    MED-PHYSICIANS AND SURGEONS,"Master, PhD, or Professional Degree"
154,    MED-PHYSICIAN ASSISTANTS,"Master, PhD, or Professional Degree"
155,    MED-PODIATRISTS,"Master, PhD, or Professional Degree"
156,    MED-AUDIOLOGISTS,"Master, PhD, or Professional Degree"
157,    MED-OCCUPATIONAL THERAPISTS,Bachelor Degree
158,    MED-PHYSICAL THERAPISTS,"Master, PhD, or Professional Degree"
159,    MED-RADIATION THERAPISTS,Bachelor Degree
160,    MED-RECREATIONAL THERAPISTS,Bachelor Degree
161,    MED-RESPIRATORY THERAPISTS,Some College
162,    MED-SPEECH-LANGUAGE PATHOLOGISTS,"Master, PhD, or Professional Degree"
163,"    MED-OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS",Bachelor Degree
164,    MED-VETERINARIANS,"Master, PhD, or Professional Degree"
165,    MED-REGISTERED NURSES,Bachelor Degree
166,    MED-NURSE ANESTHETISTS,"Master, PhD, or Professional Degree"
167,"    MED-NURSE PRACTITIONERS, AND NURSE MIDWIVES","Master, PhD, or Professional Degree"
168,"    MED-HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER",Bachelor Degree
169,    MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,Some College
170,    MED-DENTAL HYGIENISTS,Some College
171,    MED-DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS,Some College
172,    MED-EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS,Some College
173,    MED-HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS,Some College
174,    MED-LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES,Some College
175,    MED-MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS,Some College
176,"    MED-OPTICIANS, DISPENSING",Some College
177,    MED-MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS,Some College
178,    MED-OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS,Bachelor Degree
179,"    HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",Some College
180,    HLS-OCCUPATIONAL THERAPY ASSISTANTS AND AIDES,Some College
181,    HLS-PHYSICAL THERAPIST ASSISTANTS AND AIDES,Some College
182,    HLS-MASSAGE THERAPISTS,Some College
183,    HLS-DENTAL ASSISTANTS,Some College
184,    HLS-MEDICAL ASSISTANTS,Some College
185,    HLS-MEDICAL TRANSCRIPTIONISTS,Some College
186,    HLS-PHARMACY AIDES,Some College
187,    HLS-VETERINARY ASSISTANTS AND LABORATORY ANIMAL CARETAKERS,Some College
188,    HLS-PHLEBOTOMISTS,Some College
189,"    HLS-HEALTHCARE SUPPORT WORKERS, ALL OTHER, INCLUDING MEDICAL EQUIPMENT PREPARERS",Some College
190,    PRT-FIRST-LINE SUPERVISORS OF CORRECTIONAL OFFICERS,Some College
191,    PRT-FIRST-LINE SUPERVISORS OF POLICE AND DETECTIVES,Some College
192,    PRT-FIRST-LINE SUPERVISORS OF FIRE FIGHTING AND PREVENTION WORKERS,Some College
193,"    PRT-FIRST-LINE SUPERVISORS OF PROTECTIVE SERVICE WORKERS, ALL OTHER",Some College
194,    PRT-FIREFIGHTERS,Some College
195,    PRT-FIRE INSPECTORS,Some College
196,"    PRT-BAILIFFS, CORRECTIONAL OFFICERS, AND JAILERS",Some College
197,    PRT-DETECTIVES AND CRIMINAL INVESTIGATORS,Bachelor Degree
198,    PRT-MISCELLANEOUS LAW ENFORCEMENT WORKERS,Some College
199,    PRT-POLICE OFFICERS,Some College
200,    PRT-ANIMAL CONTROL WORKERS,Some College
201,    PRT-PRIVATE DETECTIVES AND INVESTIGATORS,Bachelor Degree
202,    PRT-SECURITY GUARDS AND GAMING SURVEILLANCE OFFICERS,Some College
203,    PRT-CROSSING GUARDS,High School
204,    PRT-TRANSPORTATION SECURITY SCREENERS,Some College
205,"    PRT-LIFEGUARDS AND OTHER RECREATIONAL, AND ALL OTHER PROTECTIVE SERVICE WORKERS",High School
206,    EAT-CHEFS AND HEAD COOKS,Some College
207,    EAT-FIRST-LINE SUPERVISORS OF FOOD PREPARATION AND SERVING WORKERS,Some College
208,    EAT-COOKS,High School
209,    EAT-FOOD PREPARATION WORKERS,High School
210,    EAT-BARTENDERS,Some College
211,"    EAT-COMBINED FOOD PREPARATION AND SERVING WORKERS, INCLUDING FAST FOOD",High School
212,"    EAT-COUNTER ATTENDANTS, CAFETERIA, FOOD CONCESSION, AND COFFEE SHOP",High School
213,    EAT-WAITERS AND WAITRESSES,Some College
214,"    EAT-FOOD SERVERS, NONRESTAURANT",High School
215,"    EAT-MISCELLANEOUS FOOD PREPARATION AND SERVING RELATED WORKERS, INCLUDING DINING ROOM AND CAFETERIA ATTENDANTS AND BARTENDER HELPERS",High School
216,    EAT-DISHWASHERS,High School
217,"    EAT-HOSTS AND HOSTESSES, RESTAURANT, LOUNGE, AND COFFEE SHOP",High School
218,    CLN-FIRST-LINE SUPERVISORS OF HOUSEKEEPING AND JANITORIAL WORKERS,High School
219,"    CLN-FIRST-LINE SUPERVISORS OF LANDSCAPING, LAWN SERVICE, AND GROUNDSKEEPING WORKERS",Some College
220,    CLN-JANITORS AND BUILDING CLEANERS,High School
221,    CLN-MAIDS AND HOUSEKEEPING CLEANERS,High School
222,    CLN-PEST CONTROL WORKERS,Some College
223,    CLN-GROUNDS MAINTENANCE WORKERS,High School
224,    PRS-FIRST-LINE SUPERVISORS OF GAMING WORKERS,Some College
225,    PRS-FIRST-LINE SUPERVISORS OF PERSONAL SERVICE WORKERS,Some College
226,    PRS-ANIMAL TRAINERS,Some College
227,    PRS-NONFARM ANIMAL CARETAKERS,Some College
228,    PRS-GAMING SERVICES WORKERS,Some College
229,    PRS-MOTION PICTURE PROJECTIONISTS,Some College
230,"    PRS-USHERS, LOBBY ATTENDANTS, AND TICKET TAKERS",Some College
231,    PRS-MISCELLANEOUS ENTERTAINMENT ATTENDANTS AND RELATED WORKERS,Some College
232,    PRS-EMBALMERS AND FUNERAL ATTENDANTS,Some College
233,"    PRS-MORTICIANS, UNDERTAKERS, AND FUNERAL DIRECTORS",Some College
234,    PRS-BARBERS,High School
235,"    PRS-HAIRDRESSERS, HAIRSTYLISTS, AND COSMETOLOGISTS",High School
236,    PRS-MISCELLANEOUS PERSONAL APPEARANCE WORKERS,High School
237,"    PRS-BAGGAGE PORTERS, BELLHOPS, AND CONCIERGES",Some College
238,    PRS-TOUR AND TRAVEL GUIDES,Some College
239,    PRS-CHILDCARE WORKERS,Some College
240,    PRS-PERSONAL CARE AIDES,High School
241,    PRS-RECREATION AND FITNESS WORKERS,Some College
242,    PRS-RESIDENTIAL ADVISORS,Some College
243,"    PRS-PERSONAL CARE AND SERVICE WORKERS, ALL OTHER",Some College
244,    SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS,Some College
245,    SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS,Some College
246,    SAL-CASHIERS,High School
247,    SAL-COUNTER AND RENTAL CLERKS,Some College
248,    SAL-PARTS SALESPERSONS,High School
249,    SAL-RETAIL SALESPERSONS,Some College
250,    SAL-ADVERTISING SALES AGENTS,Bachelor Degree
251,    SAL-INSURANCE SALES AGENTS,Some College
252,"    SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES AGENTS",Bachelor Degree
253,    SAL-TRAVEL AGENTS,Some College
254,"    SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER",Some College
255,"    SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING",Some College
256,"    SAL-MODELS, DEMONSTRATORS, AND PRODUCT PROMOTERS",Some College
257,    SAL-REAL ESTATE BROKERS AND SALES AGENTS,Some College
258,    SAL-SALES ENGINEERS,Bachelor Degree
259,    SAL-TELEMARKETERS,Some College
260,"    SAL-DOOR-TO-DOOR SALES WORKERS, NEWS AND STREET VENDORS, AND RELATED WORKERS",Some College
261,"    SAL-SALES AND RELATED WORKERS, ALL OTHER",Some College
262,    OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE SUPPORT WORKERS,Some College
263,"    OFF-SWITCHBOARD OPERATORS, INCLUDING ANSWERING SERVICE",Some College
264,    OFF-TELEPHONE OPERATORS,Some College
265,"    OFF-COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHER",Some College
266,    OFF-BILL AND ACCOUNT COLLECTORS,Some College
267,    OFF-BILLING AND POSTING CLERKS,Some College
268,"    OFF-BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS",Some College
269,    OFF-GAMING CAGE WORKERS,Some College
270,    OFF-PAYROLL AND TIMEKEEPING CLERKS,Some College
271,    OFF-PROCUREMENT CLERKS,Some College
272,    OFF-TELLERS,Some College
273,"    OFF-FINANCIAL CLERKS, ALL OTHER",Some College
274,    OFF-BROKERAGE CLERKS,Some College
275,"    OFF-COURT, MUNICIPAL, AND LICENSE CLERKS",Some College
276,"    OFF-CREDIT AUTHORIZERS, CHECKERS, AND CLERKS",Some College
277,    OFF-CUSTOMER SERVICE REPRESENTATIVES,Some College
278,"    OFF-ELIGIBILITY INTERVIEWERS, GOVERNMENT PROGRAMS",Some College
279,    OFF-FILE CLERKS,Some College
280,"    OFF-HOTEL, MOTEL, AND RESORT DESK CLERKS",Some College
281,"    OFF-INTERVIEWERS, EXCEPT ELIGIBILITY AND LOAN",Some College
282,"    OFF-LIBRARY ASSISTANTS, CLERICAL",Some College
283,    OFF-LOAN INTERVIEWERS AND CLERKS,Some College
284,    OFF-NEW ACCOUNTS CLERKS,Some College
285,    OFF-CORRESPONDENCE CLERKS AND ORDER CLERKS,Some College
286,"    OFF-HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIMEKEEPING",Some College
287,    OFF-RECEPTIONISTS AND INFORMATION CLERKS,Some College
288,    OFF-RESERVATION AND TRANSPORTATION TICKET AGENTS AND TRAVEL CLERKS,Some College
289,"    OFF-INFORMATION AND RECORD CLERKS, ALL OTHER",Some College
290,    OFF-CARGO AND FREIGHT AGENTS,Some College
291,    OFF-COURIERS AND MESSENGERS,Some College
292,    OFF-DISPATCHERS,Some College
293,"    OFF-METER READERS, UTILITIES",Some College
294,    OFF-POSTAL SERVICE CLERKS,Some College
295,    OFF-POSTAL SERVICE MAIL CARRIERS,Some College
296,"    OFF-POSTAL SERVICE MAIL SORTERS, PROCESSORS, AND PROCESSING MACHINE OPERATORS",Some College
297,"    OFF-PRODUCTION, PLANNING, AND EXPEDITING CLERKS",Some College
298,"    OFF-SHIPPING, RECEIVING, AND TRAFFIC CLERKS",High School
299,    OFF-STOCK CLERKS AND ORDER FILLERS,High School
300,"    OFF-WEIGHERS, MEASURERS, CHECKERS, AND SAMPLERS, RECORDKEEPING",Some College
301,    OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS,Some College
302,    OFF-COMPUTER OPERATORS,Some College
303,    OFF-DATA ENTRY KEYERS,Some College
304,    OFF-WORD PROCESSORS AND TYPISTS,Some College
305,    OFF-INSURANCE CLAIMS AND POLICY PROCESSING CLERKS,Some College
306,"    OFF-MAIL CLERKS AND MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE",Some College
307,"    OFF-OFFICE CLERKS, GENERAL",Some College
308,"    OFF-OFFICE MACHINE OPERATORS, EXCEPT COMPUTER",Some College
309,    OFF-PROOFREADERS AND COPY MARKERS,Bachelor Degree
310,    OFF-STATISTICAL ASSISTANTS,Some College
311,"    OFF-MISCELLANEOUS OFFICE AND ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",Some College
312,"    FFF-FIRST-LINE SUPERVISORS OF FARMING, FISHING, AND FORESTRY WORKERS",High School
313,    FFF-AGRICULTURAL INSPECTORS,Some College
314,"    FFF-GRADERS AND SORTERS, AGRICULTURAL PRODUCTS",High School
315,"    FFF-MISCELLANEOUS AGRICULTURAL WORKERS, INCLUDING ANIMAL BREEDERS",High School
316,    FFF-FISHING AND HUNTING WORKERS,High School
317,    FFF-FOREST AND CONSERVATION WORKERS,High School
318,    FFF-LOGGING WORKERS,High School
319,    CON-FIRST-LINE SUPERVISORS OF CONSTRUCTION TRADES AND EXTRACTION WORKERS,High School
320,    CON-BOILERMAKERS,High School
321,"    CON-BRICKMASONS, BLOCKMASONS, STONEMASONS, AND",High School
322,    CON-CARPENTERS,High School
323,"    CON-CARPET, FLOOR, AND TILE INSTALLERS AND FINISHERS",High School
324,"    CON-CEMENT MASONS, CONCRETE FINISHERS, AND TERRAZZO WORKERS",High School
325,    CON-CONSTRUCTION LABORERS,High School
326,"    CON-PAVING, SURFACING, AND TAMPING EQUIPMENT OPERATORS",High School
327,"    CON-CONSTRUCTION EQUIPMENT OPERATORS, EXCEPT PAVING, SURFACING, AND TAMPING EQUIPMENT OPERATORS",High School
328,"    CON-DRYWALL INSTALLERS, CEILING TILE INSTALLERS, AND TAPERS",High School
329,    CON-ELECTRICIANS,Some College
330,    CON-GLAZIERS,High School
331,    CON-INSULATION WORKERS,High School
332,    CON-PAINTERS AND PAPERHANGERS,High School
333,"    CON-PIPELAYERS, PLUMBERS, PIPEFITTERS, AND STEAMFITTERS",High School
334,    CON-PLASTERERS AND STUCCO MASONS,High School
335,    CON-ROOFERS,High School
336,    CON-SHEET METAL WORKERS,High School
337,    CON-STRUCTURAL IRON AND STEEL WORKERS,High School
338,"    CON-HELPERS, CONSTRUCTION TRADES",High School
339,    CON-CONSTRUCTION AND BUILDING INSPECTORS,Some College
340,    CON-ELEVATOR INSTALLERS AND REPAIRERS,High School
341,    CON-FENCE ERECTORS,High School
342,    CON-HAZARDOUS MATERIALS REMOVAL WORKERS,High School
343,    CON-HIGHWAY MAINTENANCE WORKERS,High School
344,    CON-RAIL-TRACK LAYING AND MAINTENANCE EQUIPMENT OPERATORS,High School
345,"    CON-MISCELLANEOUS CONSTRUCTION WORKERS, INCLUDING SOLAR PHOTOVOLTAIC INSTALLERS, SEPTIC TANK SERVICERS AND SEWER PIPE CLEANERS",High School
346,"    EXT-DERRICK, ROTARY DRILL, AND SERVICE UNIT OPERATORS, AND ROUSTABOUTS, OIL, GAS, AND MINING",High School
347,"    EXT-EARTH DRILLERS, EXCEPT OIL AND GAS",High School
348,"    EXT-EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, AND BLASTERS",Some College
349,    EXT-MINING MACHINE OPERATORS,High School
350,"    EXT-MISCELLANEOUS EXTRACTION WORKERS, INCLUDING ROOF BOLTERS AND HELPERS",High School
351,"    RPR-FIRST-LINE SUPERVISORS OF MECHANICS, INSTALLERS, AND REPAIRERS",Some College
352,"    RPR-COMPUTER, AUTOMATED TELLER, AND OFFICE MACHINE REPAIRERS",Some College
353,    RPR-RADIO AND TELECOMMUNICATIONS EQUIPMENT INSTALLERS AND REPAIRERS,Some College
354,    RPR-AVIONICS TECHNICIANS,Some College
355,"    RPR-ELECTRIC MOTOR, POWER TOOL, AND RELATED REPAIRERS",High School
356,"    RPR-ELECTRICAL AND ELECTRONICS REPAIRERS, TRANSPORTATION EQUIPMENT, AND INDUSTRIAL AND UTILITY",Some College
357,"    RPR-ELECTRONIC EQUIPMENT INSTALLERS AND REPAIRERS, MOTOR VEHICLES",Some College
358,    RPR-ELECTRONIC HOME ENTERTAINMENT EQUIPMENT INSTALLERS AND REPAIRERS,Some College
359,    RPR-SECURITY AND FIRE ALARM SYSTEMS INSTALLERS,Some College
360,    RPR-AIRCRAFT MECHANICS AND SERVICE TECHNICIANS,Some College
361,    RPR-AUTOMOTIVE BODY AND RELATED REPAIRERS,High School
362,    RPR-AUTOMOTIVE GLASS INSTALLERS AND REPAIRERS,High School
