sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
CMM,CMM-COMPUTER PROGRAMMERS,9408,499426,70577.8,COMPUTER PROGRAMMERS,Bachelor Degree
CMM,"CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE",15503,1286538,90582.4,"SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE",Bachelor Degree
CMM,CMM-WEB DEVELOPERS,3216,218590,45119.8,WEB DEVELOPERS,Bachelor Degree
CMM,CMM-COMPUTER SUPPORT SPECIALISTS,19046,717468,52652.6,COMPUTER SUPPORT SPECIALISTS,Some College
CMM,CMM-DATABASE ADMINISTRATORS,2866,126531,70205.2,DATABASE ADMINISTRATORS,Bachelor Degree
CMM,CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,6008,226029,63270,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,Bachelor Degree
CMM,CMM-COMPUTER NETWORK ARCHITECTS,1960,114307,90643.2,COMPUTER NETWORK ARCHITECTS,Bachelor Degree
CMM,"CMM-COMPUTER OCCUPATIONS, ALL OTHER",15608,639406,64037.4,"COMPUTER OCCUPATIONS, ALL OTHER",Bachelor Degree
CMM,CMM-ACTUARIES,601,29813,114220.2,ACTUARIES,Bachelor Degree
CMM,CMM-OPERATIONS RESEARCH ANALYSTS,5156,154044,72482.1,OPERATIONS RESEARCH ANALYSTS,Bachelor Degree
CMM,"CMM-MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS",862,58243,80275.5,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS",Bachelor Degree
ENG,"ENG-ARCHITECTS, EXCEPT NAVAL",2376,196285,70724.6,"ARCHITECTS, EXCEPT NAVAL",Bachelor Degree
