sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
CMS,"     CMS-MISCELLANEOUS COMMUNITY AND SOCIAL SERVICE SPECIALISTS, INCLUDING HEALTH EDUCATORS AND COMMUNITY HEALTH WORKERS",2445,113485,35288.4,"MISCELLANEOUS COMMUNITY AND SOCIAL SERVICE SPECIALISTS, INCLUDING HEALTH EDUCATORS AND COMMUNITY HEALTH WORKERS",Bachelor Degree
CMS,     CMS-CLERGY,25433,473006,35008.8,CLERGY,Bachelor Degree
CMS,"     CMS-DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION",1883,84503,33002.1,"DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION",Bachelor Degree
CMS,"     CMS-RELIGIOUS WORKERS, ALL OTHER",2133,92945,21169.3,"RELIGIOUS WORKERS, ALL OTHER",Some College
LGL,"     LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL WORKERS",32205,1209183,119680.5,"LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL WORKERS","Master, PhD, or Professional Degree"
LGL,     LGL-JUDICIAL LAW CLERKS,488,26287,46059.2,JUDICIAL LAW CLERKS,"Master, PhD, or Professional Degree"
LGL,     LGL-PARALEGALS AND LEGAL ASSISTANTS,6543,473828,41805.2,PARALEGALS AND LEGAL ASSISTANTS,Some College
LGL,     LGL-MISCELLANEOUS LEGAL SUPPORT WORKERS,3735,203942,43907.6,MISCELLANEOUS LEGAL SUPPORT WORKERS,Some College
EDU,     EDU-POSTSECONDARY TEACHERS,41357,1802045,48287.2,POSTSECONDARY TEACHERS,"Master, PhD, or Professional Degree"
EDU,     EDU-PRESCHOOL AND KINDERGARTEN TEACHERS,8582,727802,19187.1,PRESCHOOL AND KINDERGARTEN TEACHERS,Some College
EDU,     EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS,67889,4219897,39087.1,ELEMENTARY AND MIDDLE SCHOOL TEACHERS,Bachelor Degree
EDU,     EDU-SECONDARY SCHOOL TEACHERS,15461,934671,43177.4,SECONDARY SCHOOL TEACHERS,Bachelor Degree
EDU,     EDU-SPECIAL EDUCATION TEACHERS,4678,304026,38621.3,SPECIAL EDUCATION TEACHERS,Bachelor Degree
EDU,     EDU-OTHER TEACHERS AND INSTRUCTORS,25737,1170225,20139.2,OTHER TEACHERS AND INSTRUCTORS,Some College
EDU,"     EDU-ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS",1032,57300,36674.1,"ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS",Bachelor Degree
EDU,     EDU-LIBRARIANS,6446,209421,34169.4,LIBRARIANS,Bachelor Degree
EDU,     EDU-LIBRARY TECHNICIANS,1281,65141,15287,LIBRARY TECHNICIANS,Some College
EDU,     EDU-TEACHER ASSISTANTS,23957,1325625,16272.3,TEACHER ASSISTANTS,Some College
EDU,"     EDU-OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS",2517,140196,37437.7,"OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS",Bachelor Degree
ENT,     ENT-ARTISTS AND RELATED WORKERS,9695,252953,26401.4,ARTISTS AND RELATED WORKERS,Bachelor Degree
ENT,     ENT-DESIGNERS,15864,1019798,39110.8,DESIGNERS,Some College
ENT,     ENT-ACTORS,1316,78942,23362.7,ACTORS,Some College
ENT,     ENT-PRODUCERS AND DIRECTORS,1761,178607,63538.6,PRODUCERS AND DIRECTORS,Bachelor Degree
ENT,"     ENT-ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS",3914,427904,22002.2,"ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS",Some College
ENT,     ENT-DANCERS AND CHOREOGRAPHERS,491,29626,21118.2,DANCERS AND CHOREOGRAPHERS,Some College
ENT,"     ENT-MUSICIANS, SINGERS, AND RELATED WORKERS",7118,269099,18916.5,"MUSICIANS, SINGERS, AND RELATED WORKERS",Some College
ENT,"     ENT-ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER",1718,57138,17534.8,"ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER",Some College
ENT,     ENT-ANNOUNCERS,443,61244,33629.1,ANNOUNCERS,Some College
ENT,"     ENT-NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS",1114,89900,49712,"NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS",Bachelor Degree
ENT,     ENT-PUBLIC RELATIONS SPECIALISTS,2802,152092,61582.1,PUBLIC RELATIONS SPECIALISTS,Bachelor Degree
ENT,     ENT-EDITORS,4250,221918,42321.9,EDITORS,Bachelor Degree
ENT,     ENT-TECHNICAL WRITERS,1989,66609,54379,TECHNICAL WRITERS,Bachelor Degree
ENT,     ENT-WRITERS AND AUTHORS,6331,294612,34839.2,WRITERS AND AUTHORS,Bachelor Degree
ENT,     ENT-MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS,2603,138253,24981.9,MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS,Some College
ENT,"     ENT-BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER",1648,127820,39217.6,"BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER",Some College
ENT,     ENT-PHOTOGRAPHERS,4736,236626,16869.2,PHOTOGRAPHERS,Some College
ENT,"     ENT-TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS",861,78471,35366.2,"TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS",Bachelor Degree
MED,     MED-CHIROPRACTORS,1281,57566,55820.3,CHIROPRACTORS,"Master, PhD, or Professional Degree"
MED,     MED-DENTISTS,4124,175439,124640.9,DENTISTS,"Master, PhD, or Professional Degree"
MED,     MED-DIETITIANS AND NUTRITIONISTS,1355,108671,38513.5,DIETITIANS AND NUTRITIONISTS,Bachelor Degree
MED,     MED-OPTOMETRISTS,838,38920,85471.5,OPTOMETRISTS,"Master, PhD, or Professional Degree"
MED,     MED-PHARMACISTS,5893,330731,86644.6,PHARMACISTS,"Master, PhD, or Professional Degree"
MED,     MED-PHYSICIANS AND SURGEONS,15584,968861,192009.9,PHYSICIANS AND SURGEONS,"Master, PhD, or Professional Degree"
MED,     MED-PHYSICIAN ASSISTANTS,1955,99018,85022,PHYSICIAN ASSISTANTS,"Master, PhD, or Professional Degree"
MED,     MED-PODIATRISTS,214,8214,116267.1,PODIATRISTS,"Master, PhD, or Professional Degree"
MED,     MED-AUDIOLOGISTS,645,16645,59166.8,AUDIOLOGISTS,"Master, PhD, or Professional Degree"
MED,     MED-OCCUPATIONAL THERAPISTS,1384,115971,53389.5,OCCUPATIONAL THERAPISTS,Bachelor Degree
MED,     MED-PHYSICAL THERAPISTS,3364,252491,60572.1,PHYSICAL THERAPISTS,"Master, PhD, or Professional Degree"
MED,     MED-RADIATION THERAPISTS,195,18402,64577.8,RADIATION THERAPISTS,Bachelor Degree
MED,     MED-RECREATIONAL THERAPISTS,158,12089,33030.4,RECREATIONAL THERAPISTS,Bachelor Degree
MED,     MED-RESPIRATORY THERAPISTS,2237,112284,50166.8,RESPIRATORY THERAPISTS,Some College
MED,     MED-SPEECH-LANGUAGE PATHOLOGISTS,2561,167307,47571.1,SPEECH-LANGUAGE PATHOLOGISTS,"Master, PhD, or Professional Degree"
MED,"     MED-OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS",2319,179921,35264.6,"OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS",Bachelor Degree
MED,     MED-VETERINARIANS,1826,77526,83180.7,VETERINARIANS,"Master, PhD, or Professional Degree"
MED,     MED-REGISTERED NURSES,51052,3473880,53748.8,REGISTERED NURSES,Bachelor Degree
MED,     MED-NURSE ANESTHETISTS,341,30140,142463.3,NURSE ANESTHETISTS,"Master, PhD, or Professional Degree"
MED,"     MED-NURSE PRACTITIONERS, AND NURSE MIDWIVES",1139,141817,85312.5,"NURSE PRACTITIONERS, AND NURSE MIDWIVES","Master, PhD, or Professional Degree"
MED,"     MED-HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER",537,30122,30935.3,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER",Bachelor Degree
MED,     MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,4795,380774,39443.1,CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,Some College
MED,     MED-DENTAL HYGIENISTS,1226,198640,44156.4,DENTAL HYGIENISTS,Some College
MED,     MED-DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS,5805,386075,48135.7,DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS,Some College
MED,     MED-EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS,4258,228700,38385.9,EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS,Some College
MED,     MED-HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS,8641,720014,27142.3,HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS,Some College
MED,     MED-LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES,18942,982362,30436.4,LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES,Some College
MED,     MED-MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS,2907,210245,33079.5,MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS,Some College
MED,"     MED-OPTICIANS, DISPENSING",1798,63907,33525.4,"OPTICIANS, DISPENSING",Some College
MED,     MED-MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS,2896,143908,39907.2,MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS,Some College
MED,     MED-OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS,4260,147632,50273.5,OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS,Bachelor Degree
HLS,"     HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",48199,2544220,18920.1,"NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",Some College
HLS,     HLS-OCCUPATIONAL THERAPY ASSISTANTS AND AIDES,403,24571,34523.4,OCCUPATIONAL THERAPY ASSISTANTS AND AIDES,Some College
HLS,     HLS-PHYSICAL THERAPIST ASSISTANTS AND AIDES,625,101600,30485.1,PHYSICAL THERAPIST ASSISTANTS AND AIDES,Some College
HLS,     HLS-MASSAGE THERAPISTS,3523,202383,14391.2,MASSAGE THERAPISTS,Some College
HLS,     HLS-DENTAL ASSISTANTS,3586,362435,25001.7,DENTAL ASSISTANTS,Some College
HLS,     HLS-MEDICAL ASSISTANTS,6585,613890,24382.8,MEDICAL ASSISTANTS,Some College
