sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
EDU, EDU-SPECIAL EDUCATION TEACHERS,3577,305127,38621.3,SPECIAL EDUCATION TEACHERS,Bachelor Degree
EDU, EDU-OTHER TEACHERS AND INSTRUCTORS,16232,1179730,20139.2,OTHER TEACHERS AND INSTRUCTORS,Some College
EDU," EDU-ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS",1009,57323,36674.1,"ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS",Bachelor Degree
EDU, EDU-LIBRARIANS,3243,212624,34169.4,LIBRARIANS,Bachelor Degree
EDU, EDU-LIBRARY TECHNICIANS,685,65737,15287,LIBRARY TECHNICIANS,Some College
EDU, EDU-TEACHER ASSISTANTS,21239,1328343,16272.3,TEACHER ASSISTANTS,Some College
EDU," EDU-OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS",1392,141321,37437.7,"OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS",Bachelor Degree
ENT, ENT-ARTISTS AND RELATED WORKERS,4608,258040,26401.4,ARTISTS AND RELATED WORKERS,Bachelor Degree
ENT, ENT-DESIGNERS,10647,1025015,39110.8,DESIGNERS,Some College
ENT, ENT-ACTORS,836,79422,23362.7,ACTORS,Some College
ENT, ENT-PRODUCERS AND DIRECTORS,1174,179194,63538.6,PRODUCERS AND DIRECTORS,Bachelor Degree
ENT," ENT-ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS",2549,429269,22002.2,"ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS",Some College
ENT, ENT-DANCERS AND CHOREOGRAPHERS,145,29972,21118.2,DANCERS AND CHOREOGRAPHERS,Some College
ENT," ENT-MUSICIANS, SINGERS, AND RELATED WORKERS",3620,272597,18916.5,"MUSICIANS, SINGERS, AND RELATED WORKERS",Some College
ENT," ENT-ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER",272,58584,17534.8,"ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER",Some College
ENT, ENT-ANNOUNCERS,1791,59896,33629.1,ANNOUNCERS,Some College
ENT," ENT-NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS",926,90088,49712,"NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS",Bachelor Degree
ENT, ENT-PUBLIC RELATIONS SPECIALISTS,1314,153580,61582.1,PUBLIC RELATIONS SPECIALISTS,Bachelor Degree
ENT, ENT-EDITORS,2445,223723,42321.9,EDITORS,Bachelor Degree
ENT, ENT-TECHNICAL WRITERS,933,67665,54379,TECHNICAL WRITERS,Bachelor Degree
ENT, ENT-WRITERS AND AUTHORS,3277,297666,34839.2,WRITERS AND AUTHORS,Bachelor Degree
ENT, ENT-MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS,1910,138946,24981.9,MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS,Some College
ENT," ENT-BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER",1613,127855,39217.6,"BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER",Some College
ENT, ENT-PHOTOGRAPHERS,2831,238531,16869.2,PHOTOGRAPHERS,Some College
ENT," ENT-TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS",335,78997,35366.2,"TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS",Bachelor Degree
MED, MED-CHIROPRACTORS,318,58529,55820.3,CHIROPRACTORS,"Master, PhD, or Professional Degree"
MED, MED-DENTISTS,1258,178305,124640.9,DENTISTS,"Master, PhD, or Professional Degree"
MED, MED-DIETITIANS AND NUTRITIONISTS,1762,108264,38513.5,DIETITIANS AND NUTRITIONISTS,Bachelor Degree
MED, MED-OPTOMETRISTS,193,39565,85471.5,OPTOMETRISTS,"Master, PhD, or Professional Degree"
MED, MED-PHARMACISTS,2735,333889,86644.6,PHARMACISTS,"Master, PhD, or Professional Degree"
MED, MED-PHYSICIANS AND SURGEONS,6026,978419,192009.9,PHYSICIANS AND SURGEONS,"Master, PhD, or Professional Degree"
MED, MED-PHYSICIAN ASSISTANTS,808,100165,85022,PHYSICIAN ASSISTANTS,"Master, PhD, or Professional Degree"
